,exp_name,dataset,k,fa,ra,pgu,pgi
0,20230817_143935_gpt-4_perturb,compas,1,nan+/-nan,nan+/-nan,0.1724+/-0.0124,0.0257+/-0.006
1,20230817_150630_gpt-4_perturb,compas,3,nan+/-nan,nan+/-nan,0.1018+/-0.0113,0.1353+/-0.0115
2,20230817_154100_gpt-4_perturb,compas,5,nan+/-nan,nan+/-nan,0.0318+/-0.0081,0.1679+/-0.0143
3,20230817_161840_gpt-4_perturb,adult,1,nan+/-nan,nan+/-nan,0.2597+/-0.0141,0.0209+/-0.0063
4,20230817_164803_gpt-4_perturb,adult,3,nan+/-nan,nan+/-nan,0.2388+/-0.0141,0.0735+/-0.0103
5,20230817_172216_gpt-4_perturb,adult,5,nan+/-nan,nan+/-nan,0.164+/-0.0139,0.1697+/-0.0152
6,20230817_180010_gpt-4_perturb,credit,1,nan+/-nan,nan+/-nan,0.1826+/-0.0115,0.0332+/-0.0064
7,20230817_183233_gpt-4_perturb,credit,3,nan+/-nan,nan+/-nan,0.1484+/-0.0112,0.0887+/-0.0104
8,20230817_190256_gpt-4_perturb,credit,5,nan+/-nan,nan+/-nan,0.1122+/-0.0113,0.1272+/-0.0107
9,20230817_194010_gpt-4_perturb,compas,1,0.0103+/-0.0103,0.0103+/-0.0103,0.1249+/-0.0061,0.0253+/-0.0033
10,20230817_200732_gpt-4_perturb,compas,3,0.5833+/-0.0384,0.2+/-0.0189,0.0721+/-0.0054,0.0957+/-0.0061
11,20230817_204907_gpt-4_perturb,compas,5,0.8693+/-0.011,0.1253+/-0.0176,0.0199+/-0.0028,0.1276+/-0.0069
12,20230817_212928_gpt-4_perturb,adult,1,0.0+/-0.0,0.0+/-0.0,0.2477+/-0.0111,0.0089+/-0.0022
13,20230817_215932_gpt-4_perturb,adult,3,0.2177+/-0.0167,0.0986+/-0.0154,0.2372+/-0.0108,0.0478+/-0.0055
14,20230817_223700_gpt-4_perturb,adult,5,0.4289+/-0.0202,0.1196+/-0.0142,0.171+/-0.0117,0.1286+/-0.012
15,20230817_232032_gpt-4_perturb,credit,1,0.0938+/-0.0297,0.0938+/-0.0297,0.1902+/-0.01,0.0317+/-0.0062
16,20230817_235620_gpt-4_perturb,credit,3,0.1616+/-0.0254,0.138+/-0.0228,0.1601+/-0.0102,0.0828+/-0.0096
17,20230818_003229_gpt-4_perturb,credit,5,0.4351+/-0.018,0.1052+/-0.0127,0.1116+/-0.0098,0.1419+/-0.0106